Alrance|(12430)|44.1333|2.68333
Alsting|(57520)|49.1833|6.98333
Altagene|(20112)|41.7064|9.07001
Alteckendorf|(67270)|48.7833|7.6
Altenach|(68210)|47.6167|7.11667
Altenheim|(67490)|48.7167|7.46667
Althen-des-paluds|(84210)|44|4.95
Altiani|(20251)|42.2373|9.2914
Altier|(48800)|44.4667|3.86667
Altillac|(19120)|44.9667|1.86667
Altkirch|(68130)|47.6167|7.25
Altorf|(67120)|48.5167|7.53333
Altrippe|(57660)|49.0333|6.81667
Altviller|(57730)|49.0833|6.73333
Altwiller|(67260)|48.9333|6.96667
Aluze|(71510)|46.85|4.68333
Alvignac|(46500)|44.8333|1.7
Alvimare|(76640)|49.6|0.633333
Alzen|(09240)|42.9833|1.46667
Alzi|(20212)|42.3034|9.30195
Alzing|(57320)|49.2833|6.55
Alzon|(30770)|43.9667|3.44004
Alzonne|(11170)|43.2667|2.18333
Amage|(70280)|47.8333|6.5
Amagne|(08300)|49.5167|4.5
Amagney|(25220)|47.3|6.15
Amailloux|(79350)|46.75|-0.316667
Amance|(10140)|48.3|4.51667
Amance|(54770)|48.7667|6.28333
Amance|(70160)|47.8|6.06667
Amancey|(25330)|47.0333|6.08333
Amancy|(74800)|46.0667|6.33333
Amange|(39700)|47.15|5.56667
Amanlis|(35150)|48|-1.48333
Amanty|(55130)|48.5167|5.61667
Amanvillers|(57111)|49.1667|6.03333
Amanze|(71610)|46.3333|4.23333
Amarens|(81170)|44.0333|1.93333
Amathay-vesigneux|(25330)|47.0167|6.2
Amaye-sur-orne|(14210)|49.0833|-0.433333
Amaye-sur-seulles|(14310)|49.0833|-0.716667
Amazy|(58190)|47.3833|3.58333
Ambacourt|(88500)|48.35|6.15
Ambares-et-lagrave|(33440)|44.9248|-0.486667
Ambax|(31230)|43.3667|0.933333
Ambazac|(87240)|45.95|1.4
Ambel|(38970)|44.8167|5.93333
Ambenay|(27250)|48.8333|0.733333
Amberac|(16140)|45.85|0.066667
Amberieu-en-bugey|(01500)|45.95|5.35
Amberieux|(69480)|45.9281|4.73723
Amberieux-en-dombes|(01330)|46|4.9
Ambernac|(16490)|45.9833|0.533333
Amberre|(86110)|46.7833|0.15
Ambert|(63600)|45.55|3.75
Ambes|(33810)|45.0167|-0.533333
Ambeyrac|(12260)|44.5167|1.95
Ambialet|(81430)|43.9333|2.38333
Ambiegna|(20151)|42.0839|8.79251
Ambierle|(42820)|46.1|3.9
Ambievillers|(70210)|47.9667|6.15
Ambillou|(37340)|47.45|0.45
Ambillou-chateau|(49700)|47.2667|-0.35
Ambilly|(74100)|46.195|6.22417
Amblainville|(60110)|49.2|2.11667
Amblans-et-velotte|(70200)|47.6833|6.41667
Ambleny|(02290)|49.3833|3.18333
Ambleon|(01300)|45.75|5.6
Ambleteuse|(62164)|50.8|1.6
Ambleville|(16300)|45.55|-0.216667
Ambleville|(95710)|49.15|1.7
Amblie|(14480)|49.3|-0.483333
Amblimont|(08210)|49.6333|5.06667
Ambloy|(41310)|47.7167|0.966667
Ambly-fleury|(08130)|49.4833|4.48333
Ambly-sur-meuse|(55300)|49.0167|5.45
Amboise|(37530)|47.4167|0.983333
Ambon|(56190)|47.55|-2.56667
Ambonil|(26800)|44.7833|4.9
Ambonnay|(51150)|49.0667|4.16667
Ambonville|(52110)|48.3167|5.01667
Ambrault|(36120)|46.7833|1.96667
Ambres|(81500)|43.7333|1.81667
Ambricourt|(62310)|50.4667|2.18333
Ambrief|(02200)|49.3167|3.4
Ambrieres|(51290)|48.6333|4.83333
Ambrieres-les-vallees|(53300)|48.4023|-0.630556
Ambrines|(62127)|50.3167|2.46667
Ambronay|(01500)|46|5.35
Ambrugeat|(19250)|45.5333|2.13333
Ambrumesnil|(76550)|49.8667|1
Ambrus|(47160)|44.2167|0.233333
Ambutrix|(01500)|45.9333|5.33333
Amecourt|(27140)|49.3833|1.73333
Amel-sur-l'etang|(55230)|49.2667|5.65
Amelecourt|(57170)|48.8333|6.5
Amelie-les-bains-palalda|(66110)|42.4667|2.66667
Amendeuix-oneix|(64120)|43.35|-1.03333
Amenoncourt|(54450)|48.6333|6.78333
Amenucourt|(95510)|49.1|1.65
Ames|(62190)|50.55|2.41667
Amettes|(62260)|50.5333|2.4
Ameugny|(71460)|46.5167|4.68333
Ameuvelle|(88410)|47.95|5.95
Amfreville|(14860)|49.25|-0.233333
Amfreville|(50480)|49.4167|-1.38333
Amfreville-la-campagne|(27370)|49.2167|0.95
Amfreville-la-mi-voie|(76920)|49.4|1.11667
Amfreville-les-champs|(27380)|49.3167|1.31667
Amfreville-les-champs|(76560)|49.7|0.816667
Amfreville-sous-les-monts|(27590)|49.3|1.26667
Amfreville-sur-iton|(27400)|49.15|1.15
Amfroipret|(59144)|50.2833|3.73333
Amiens|(80000-80080-80090)|49.9|2.3
Amifontaine|(02190)|49.4833|3.91667
